PILA $ ENTRADA $ TRANSICION
['#', 'S']$z a z a b z b z$(i, λ, λ; p, #)
['#', 'z', 'N', 'M', 'z']$['z', 'b', 'z', 'b', 'a', 'z', 'a', 'z']$(q, λ, S; q, zMNz)
['#', 'z', 'N', 'M', 'z']$['z', 'b', 'z', 'b', 'a', 'z', 'a', 'z']$(q, z, z; q, λ)
['#', 'z', 'N', 'a', 'M', 'a']$['z', 'b', 'z', 'b', 'a', 'z', 'a']$(q, λ, M; q, aMa)
['#', 'z', 'N', 'a', 'M', 'a']$['z', 'b', 'z', 'b', 'a', 'z', 'a']$(q, a, a; q, λ)
['#', 'z', 'N', 'a', 'z']$['z', 'b', 'z', 'b', 'a', 'z']$(q, λ, M; q, z)
['#', 'z', 'N', 'a', 'z']$['z', 'b', 'z', 'b', 'a', 'z']$(q, z, z; q, λ)
['#', 'z', 'N', 'a']$['z', 'b', 'z', 'b', 'a']$(q, a, a; q, λ)
['#', 'z', 'b', 'N', 'b']$['z', 'b', 'z', 'b']$(q, λ, N; q, bNb)
['#', 'z', 'b', 'N', 'b']$['z', 'b', 'z', 'b']$(q, b, b; q, λ)
['#', 'z', 'b', 'z']$['z', 'b', 'z']$(q, λ, N; q, z)
['#', 'z', 'b', 'z']$['z', 'b', 'z']$(q, z, z; q, λ)
['#', 'z', 'b']$['z', 'b']$(q, b, b; q, λ)
['#', 'z']$['z']$(q, z, z; q, λ)
¡¡¡ENTRADA VÁLIDA!!!
